#IncidentId;#DateId;_catLMC;_catLMC1;_catLMC2;dtgStartIncident;nrIncident;plaatsNaam;wk_prioriteitIncidentBrandweer;straatnaam;naamLocatie2;postcode;huisPaalNr;_catDagdeel;_catRegio;_lat;_lon
729441787;20111210;Brand;Natuur;NULL;2011-12-10 09:04:05.0000000;238357;Tilburg;1;GOIRKESTRAAT;ASVZ GOIRKESTRAAT HET KANTEEL-LA CASA;5046GH;171;Ochtend;VRMWB;" 51.5686070000000000";"  5.0761779999999996"
714125270;20110528;Brand;Natuur;NULL;2011-05-28 16:25:05.0000000;102661;Tilburg;1;RINGBAAN WEST;NULL;NULL;NULL;Middag;VRMWB;" 51.5581839999999970";"  5.0640780000000003"
769592374;20130420;Brand;Natuur;Bos;2013-04-20 16:40:22.0000000;77259;Tilburg;1;BREDASEWEG;BURGEMEESTER BARON VAN VOORST TOT VOORSTWEG;NULL;NULL;Middag;VRMWB;" 51.5614810000000010";"  5.0180660000000001"
769592857;20130420;Brand;Natuur;NULL;2013-04-20 16:46:33.0000000;77265;Tilburg;1;A58 LEIKANT;NULL;NULL;NULL;Middag;VRMWB;" 51.5377750000000030";"  5.0033539999999999"
769602035;20130420;Brand;Natuur;Bos;2013-04-20 19:42:25.0000000;77392;Tilburg;1;WITBRANTLAAN OOST;NULL;NULL;NULL;Avond;VRMWB;" 51.5672980000000010";"  5.0155810000000001"
758165159;20120908;Brand;Natuur;NULL;2012-09-08 13:09:50.0000000;174460;Tilburg;1;EEKHOORNPAD;NULL;NULL;NULL;Middag;VRMWB;" 51.5554670000000000";"  5.0012439999999998"
951196368;20180701;Brand;Natuur;NULL;2018-07-01 09:07:09.0000000;161821;Tilburg;1;Reuselpad;NULL;5032WR;8;Ochtend;VRMWB;" 51.5494729999999990";"  5.0389390000000001"
953068770;20180723;Brand;Natuur;NULL;2018-07-23 10:20:05.0000000;182528;Tilburg;1;Kalverstraat;NULL;NULL;NULL;Ochtend;VRMWB;" 51.6098590000000000";"  5.0909959999999996"
952581427;20180718;Brand;Natuur;NULL;2018-07-18 21:25:19.0000000;178287;Tilburg;1;Meierijbaan;NULL;NULL;NULL;Avond;VRMWB;" 51.5525080000000030";"  5.1158089999999996"
954534493;20180802;Brand;Natuur;NULL;2018-08-02 00:14:56.0000000;192415;Tilburg;1;Kwekerijpad;NULL;NULL;NULL;Nacht;VRMWB;" 51.5647859999999980";"  5.0560850000000004"
812040051;20140628;Brand;Natuur;Bos;2014-06-28 11:13:14.0000000;133098;Teteringen;1;Tilburgse Baan;NULL;NULL;NULL;Ochtend;VRMWB;" 51.6196619999999980";"  4.8385530000000001"
1477306039;20210617;Brand;Natuur;Bos;2021-06-17 18:59:53.0000000;194718;Teteringen;1;Laanzichtweg;NULL;NULL;NULL;Avond;VRMWB;" 51.6073123050515580";"  4.8373278127925143"
1548186226;20220813;Brand;Natuur;NULL;2022-08-13 18:26:15.0000000;287015;Teteringen;1;Donkerstraat;NULL;NULL;NULL;Avond;VRMWB;" 51.6063279717937820";"  4.8344526114240498"
1564142749;20221016;Brand;Natuur;Bos;2022-10-16 20:07:48.0000000;371326;Terheijden;1;Zeggelaan;NULL;NULL;NULL;Avond;VRMWB;" 51.6501418269968010";"  4.7600947064313361"
985076042;20190808;Brand;Natuur;NULL;2019-08-08 11:39:17.0000000;187594;Steenbergen;1;Moerstraatseweg;NULL;NULL;NULL;Ochtend;VRMWB;" 51.5529310000000010";"  4.3358030000000003"
1628283082;20230930;Brand;Natuur;Bos;2023-09-30 19:45:06.0000000;358472;St. Willebrord;1;Kerkeheidestraat;Verlengde Vosdonkseweg;NULL;NULL;Avond;VRMWB;" 51.5402224266802660";"  4.5871491148550421"
811395773;20140617;Brand;Natuur;NULL;2014-06-17 11:21:43.0000000;124814;St. Willebrord;1;Emmastraat;NULL;NULL;NULL;Ochtend;VRMWB;" 51.5549970000000000";"  4.5943030000000000"
963923236;20181107;Brand;Natuur;NULL;2018-11-07 11:12:26.0000000;279295;Schijf;1;Postbaan;NULL;NULL;NULL;Ochtend;VRMWB;" 51.5054250000000020";"  4.5199210000000001"
812046411;20140628;Brand;Natuur;NULL;2014-06-28 14:14:45.0000000;133179;Rucphen;1;Zeepestraat;NULL;NULL;NULL;Middag;VRMWB;" 51.5081130000000020";"  4.5163700000000002"
1657024624;20240414;Brand;Natuur;Bos;2024-04-14 11:51:41.0000000;136728;Rucphen;1;Kromme Elleboog;NULL;NULL;NULL;Ochtend;VRMWB;" 51.5214329614358920";"  4.5458520294707556"
946792350;20180509;Brand;Natuur;NULL;2018-05-09 23:19:55.0000000;112929;Schijf;1;Achtmaalsebaan;NULL;NULL;NULL;Avond;VRMWB;" 51.4814239999999970";"  4.5395550000000000"
1739474834;20251019;Brand;Natuur;Bos;2025-10-19 11:54:03.0000000;428133;Schijf;2;Postbaan;NULL;NULL;NULL;Ochtend;VRMWB;" 51.5126284626763750";"  4.5341153201902635"
1738859888;20251015;Brand;Natuur;Bos;2025-10-15 12:05:13.0000000;422228;Schijf;1;Roosendaalsebaan;Postbaan;NULL;NULL;Middag;VRMWB;" 51.5092966014740700";"  4.5296257555487101"
770621390;20130507;Brand;Natuur;NULL;2013-05-07 19:21:34.0000000;89734;Rucphen;1;POSTBAAN;OSSEKOPKE HET;4715PM;38;Avond;VRMWB;" 51.5171020000000010";"  4.5383420000000001"
769858199;20130425;Brand;Natuur;NULL;2013-04-25 13:50:23.0000000;80853;Rucphen;1;ZEEPESTRAAT;NULL;NULL;NULL;Middag;VRMWB;" 51.5079059999999980";"  4.5163159999999998"
