,#IncidentId,#DateId,_catLMC,_catLMC1,_catLMC2,dtgStartIncident,nrIncident,plaatsNaam,wk_prioriteitIncidentBrandweer,straatnaam,naamLocatie2,postcode,huisPaalNr,_catDagdeel,_catRegio,_lat,_lon
85,951213599,20180701,Brand,Natuur,,2018-07-01 13:53:00.0000000,162014,Bergen op Zoom,1,Benedenbaantje,,,,Middag,VRMWB,51.481972,4.291171
86,988397965,20190921,Brand,Natuur,,2019-09-21 16:38:23.0000000,225905,Baarle-Nassau,1,Oude Bredasebaan,,,,Middag,VRMWB,51.464184,4.897428
87,870837714,20160925,Brand,Natuur,,2016-09-25 14:52:01.0000000,231762,Alphen,1,Fransebaan,Maastrichtsebaan,,,Middag,VRMWB,51.498691,4.930511
88,1736249072,20251001,Brand,Natuur,Bos,2025-10-01 16:50:22.0000000,401298,Baarle-Nassau,1,Haldijk,,,,Middag,VRMWB,51.43435652683954,4.872290621592841
89,770885326,20130511,Brand,Natuur,,2013-05-11 10:22:19.0000000,92430,Alphen,1,ULICOTENSEBAAN,,,,Ochtend,VRMWB,51.476515,4.925638
90,784269164,20130716,Brand,Natuur,,2013-07-16 14:16:35.0000000,140350,Alphen,1,OUDE TILBURGSEBAAN,,5131RL,1.0,Middag,VRMWB,51.494584,4.971736
91,713174414,20110501,Brand,Natuur,,2011-05-01 09:40:10.0000000,82972,Alphen,1,HUISDREEF,,,,Ochtend,VRMWB,51.507633,4.901195
92,713154725,20110430,Brand,Natuur,,2011-04-30 20:27:43.0000000,82551,Alphen,1,HUISDREEF,,,,Avond,VRMWB,51.507633,4.901195
93,905266005,20180106,Brand,Natuur,,2018-01-06 00:08:50.0000000,5129,Tilburg,1,Zevenheuvelenweg,wolterbeekstraat,,,Nacht,VRMWB,51.585327,5.053771
94,888000218,20170522,Brand,Natuur,,2017-05-22 20:29:59.0000000,120838,Tilburg,1,Reuselpad,,,34.0,Avond,VRMWB,51.549328,5.035465
95,891981923,20170710,Brand,Natuur,,2017-07-10 12:01:08.0000000,171060,Tilburg,1,Bredaseweg,Amarant,5036NB,570.0,Middag,VRMWB,51.562051,5.007894
96,888910928,20170602,Brand,Natuur,,2017-06-02 22:56:39.0000000,131929,Tilburg,1,Donkhof,,,,Avond,VRMWB,51.576467,5.007413
97,887585425,20170517,Brand,Natuur,,2017-05-17 14:35:09.0000000,115652,Tilburg,1,Burg Letschertweg,,,28700.0,Middag,VRMWB,51.594088,5.049478
98,890079780,20170617,Brand,Natuur,,2017-06-17 18:35:37.0000000,147060,Tilburg,1,Kronenbergstraat,,,,Avond,VRMWB,51.572861,5.006852
99,886449422,20170501,Brand,Natuur,,2017-05-01 20:46:45.0000000,102048,Tilburg,1,Deurnehof,,,,Avond,VRMWB,51.574851,5.010672
