date,count
2015-05-02,True
2015-05-12,True
2015-05-17,True
2015-05-20,True
2015-05-27,True
2015-05-31,True
2015-06-01,True
2015-06-06,True
2015-06-08,True
2015-06-10,True
2015-06-14,True
2015-06-16,True
2015-06-17,True
2015-06-26,True
2015-06-27,True
2015-06-28,True
2015-06-29,True
2015-06-30,True
2015-07-03,True
2015-07-04,True
2015-07-06,True
2015-07-07,True
2015-07-10,True
2015-07-11,True
2015-08-12,True
2015-08-13,True
2015-08-18,True
2015-08-23,True
2015-09-29,True
2015-11-11,True
2015-12-06,True
2015-12-31,True
2016-02-27,True
2016-03-20,True
2016-03-21,True
2016-03-23,True
2016-04-17,True
2016-04-21,True
2016-05-06,True
2016-05-08,True
2016-05-09,True
2016-05-11,True
2016-05-16,True
2016-05-21,True
2016-05-27,True
2016-05-28,True
2016-07-20,True
2016-07-28,True
2016-08-28,True
2016-08-30,True
2016-09-14,True
2016-09-15,True
2016-09-17,True
2016-09-25,True
2016-10-09,True
2017-03-16,True
2017-03-26,True
2017-04-01,True
2017-04-05,True
2017-04-08,True
2017-04-09,True
2017-04-29,True
2017-05-01,True
2017-05-06,True
2017-05-08,True
2017-05-09,True
2017-05-16,True
2017-05-17,True
2017-05-22,True
2017-05-25,True
2017-05-26,True
2017-05-27,True
2017-05-29,True
2017-05-30,True
2017-06-02,True
2017-06-05,True
2017-06-08,True
2017-06-10,True
2017-06-11,True
2017-06-12,True
2017-06-13,True
2017-06-15,True
2017-06-16,True
2017-06-17,True
2017-06-19,True
2017-06-20,True
2017-06-21,True
2017-06-22,True
2017-06-23,True
2017-06-24,True
2017-06-25,True
2017-06-26,True
2017-07-03,True
2017-07-09,True
2017-07-10,True
2017-07-13,True
2017-08-30,True
2017-10-18,True
2017-11-02,True
2018-01-06,True
2018-01-27,True
2018-02-24,True
2018-03-04,True
2018-04-08,True
2018-04-17,True
2018-04-19,True
2018-04-22,True
2018-05-04,True
2018-05-06,True
2018-05-09,True
2018-05-20,True
2018-06-04,True
2018-06-23,True
2018-06-27,True
2018-06-29,True
2018-06-30,True
2018-07-01,True
2018-07-02,True
2018-07-03,True
2018-07-04,True
2018-07-05,True
2018-07-08,True
2018-07-12,True
2018-07-14,True
2018-07-15,True
2018-07-16,True
2018-07-18,True
2018-07-19,True
2018-07-23,True
2018-07-26,True
2018-07-27,True
2018-07-30,True
2018-07-31,True
2018-08-02,True
2018-08-05,True
2018-08-06,True
2018-08-07,True
2018-08-12,True
2018-08-16,True
2018-08-24,True
2018-09-15,True
2018-09-16,True
2018-10-05,True
2018-10-14,True
2018-10-20,True
2018-11-01,True
2018-11-02,True
2018-11-07,True
2019-02-25,True
2019-04-12,True
2019-04-14,True
2019-04-15,True
2019-04-20,True
2019-04-21,True
2019-04-22,True
2019-04-23,True
2019-04-25,True
2019-04-29,True
2019-05-15,True
2019-05-23,True
2019-05-29,True
2019-05-30,True
2019-06-01,True
2019-06-02,True
2019-06-17,True
2019-06-26,True
2019-06-28,True
2019-07-08,True
2019-07-21,True
2019-07-24,True
2019-08-05,True
2019-08-08,True
2019-08-09,True
2019-08-25,True
2019-09-21,True
2019-09-22,True
2020-04-02,True
2020-04-04,True
2020-04-09,True
2020-04-14,True
2020-04-15,True
2020-04-20,True
